;Berlin;Hamburg;Munich;Cologne;Frankfurt;Stuttgart;Düsseldorf;Leipzig;Dortmund;Essen;Bremen;Dresden;Hanover;Nuremberg;Duisburg;Bochum;Wuppertal;Bielefeld;Bonn;Münster;Karlsruhe;Mannheim;Augsburg;Wiesbaden;Gelsenkirchen;Mönchengladbach;Braunschweig;Chemnitz;Kiel;Aachen;Halle;Magdeburg;Freiburg;Krefeld;Lübeck;Oberhausen;Erfurt;Mainz;Rostock;Kassel;Hagen;Hamm;Saarbrücken;Herne;Mülheim;Potsdam;Ludwigshafen;Oldenburg;Leverkusen;Osnabrück
Wuppertal;451.5;320.0;471.0;37.9;166.9;311.7;26.5;363.1;36.0;24.2;231.9;459.8;216.7;343.2;33.5;25.5;0.0;128.4;57.8;84.9;265.6;217.7;418.5;151.8;29.4;50.0;258.2;406.1;395.2;91.8;335.4;323.2;365.6;40.4;375.8;33.3;272.4;160.4;458.9;162.1;25.0;65.4;224.4;31.3;25.9;425.4;218.1;222.0;25.1;129.5
Bielefeld;335.9;195.7;484.6;163.1;213.7;364.8;150.7;275.6;93.2;122.7;118.1;376.0;90.3;337.9;138.7;109.2;128.4;0.0;174.8;62.5;336.3;282.8;440.3;218.0;114.7;172.5;138.6;332.3;276.1;219.8;243.8;211.8;450.9;154.7;249.9;129.3;208.3;227.4;330.7;103.1;104.2;63.2;328.6;106.8;132.3;311.3;283.9;125.6;151.4;43.2
Bonn;478.1;370.1;434.4;24.3;132.1;264.6;59.1;374.8;90.0;80.1;285.4;466.8;257.6;317.7;81.0;83.2;57.8;174.8;0.0;140.9;214.0;169.8;379.9;109.2;86.8;67.3;292.0;409.4;448.1;71.5;350.2;349.6;309.2;75.9;424.8;86.0;277.3;116.2;503.9;178.4;74.5;115.5;166.6;89.1;77.2;451.3;169.9;278.3;34.7;183.7
Münster;398.3;238.2;510.5;122.8;218.5;370.9;100.6;334.6;50.9;70.3;147.6;434.8;150.9;369.9;83.5;60.3;84.9;62.5;140.9;0.0;333.0;281.3;462.1;213.7;61.7;119.2;201.0;388.3;311.0;169.8;303.5;274.2;440.8;99.7;294.9;73.6;259.5;223.1;381.5;146.8;67.0;34.4;305.7;55.5;79.0;373.8;282.1;137.4;110.1;45.7
Karlsruhe;525.4;517.2;253.1;238.2;124.4;62.5;272.9;383.6;286.6;289.7;453.7;443.4;386.1;200.3;294.1;287.9;265.6;336.3;214.0;333.0;0.0;53.6;196.3;119.7;294.5;279.2;392.4;381.5;602.9;257.4;375.3;414.3;119.5;289.8;562.9;297.7;289.1;110.2;620.3;267.6;270.8;299.5;105.6;293.9;289.1;499.1;52.4;460.2;247.3;364.8
Mannheim;482.6;464.0;273.2;193.6;71.0;94.8;227.7;345.0;236.1;241.8;400.1;412.9;333.2;188.7;247.8;238.7;217.7;282.8;169.8;281.3;53.6;0.0;216.7;67.7;245.9;236.8;341.4;350.6;549.6;222.1;333.6;367.5;171.7;245.2;510.3;250.5;246.9;58.4;569.6;215.3;220.7;247.4;109.9;244.7;242.2;455.9;1.9;406.9;201.5;311.9
Augsburg;494.3;579.3;57.0;402.2;251.6;134.0;434.1;346.7;427.1;441.6;543.9;361.2;453.0;121.0;451.3;434.8;418.5;440.3;379.9;462.1;196.3;216.7;0.0;270.7;443.6;447.0;434.3;309.7;664.1;438.0;356.0;420.2;230.3;452.1;611.2;451.7;290.9;263.9;641.7;342.6;414.2;428.2;301.6;440.2;444.3;472.6;217.4;563.2;407.7;479.4
Wiesbaden;450.0;404.5;325.3;131.6;31.8;160.1;164.4;323.0;168.6;175.8;336.0;403.0;275.8;215.3;183.1;171.9;151.8;218.0;109.2;213.7;119.7;67.7;270.7;0.0;179.4;176.3;291.1;341.7;489.1;171.3;305.9;327.9;233.0;182.3;453.2;185.0;221.5;9.5;518.3;162.7;153.4;179.9;129.2;177.8;176.9;422.9;68.4;340.9;137.9;245.2
Gelsenkirchen;446.4;299.8;495.3;65.1;192.5;339.5;38.9;367.0;26.3;8.6;209.2;465.3;204.9;363.9;24.2;9.9;29.4;114.7;86.8;61.7;294.5;245.9;443.6;179.4;0.0;58.3;250.4;413.9;372.5;108.2;337.9;319.2;395.0;40.0;356.4;15.5;280.8;188.2;442.0;167.6;31.1;53.3;253.3;8.2;17.8;420.9;246.4;196.4;52.7;107.4
Mönchengladbach;500.6;357.3;501.3;45.1;197.7;331.4;23.6;412.9;80.1;50.0;265.5;509.2;262.4;380.9;35.9;63.3;50.0;172.5;67.3;119.2;279.2;236.8;447.0;176.3;58.3;0.0;306.2;454.9;428.2;51.6;385.4;372.6;367.8;20.2;414.1;45.7;321.1;183.5;500.3;211.9;74.0;109.8;219.3;65.8;40.6;474.7;236.8;249.5;42.9;164.8
Braunschweig;197.3;146.8;465.7;287.3;272.2;399.8;283.1;163.7;226.2;257.7;147.1;259.6;55.3;315.6;274.7;243.5;258.2;138.6;292.0;201.0;392.4;341.4;434.3;291.1;250.4;306.2;0.0;230.4;230.0;349.3;131.0;76.8;511.8;290.0;177.9;265.7;146.9;298.9;228.2;128.4;233.2;197.2;418.3;242.3;267.4;173.0;343.0;183.6;277.5;168.7
Chemnitz;191.1;362.3;314.7;418.3;310.4;352.1;432.1;68.6;387.9;418.0;377.2;62.3;279.5;201.7;434.9;404.4;406.1;332.3;409.4;388.3;381.5;350.6;309.7;341.7;413.9;454.9;230.4;0.0;432.2;480.4;99.7;169.4;483.5;446.1;370.3;428.8;133.8;343.9;367.3;246.4;385.7;367.6;458.3;406.3;426.3;174.1;352.4;412.4;414.2;373.6
